year,avg_temp,avg_tempcity
1750,8.72,14.92
1751,7.98,15.72
1752,5.78,8.54
1753,8.39,14.27
1754,8.47,14.32
1755,8.36,11.9
1756,8.85,14.44
1757,9.02,13.92
1758,6.74,12.81
1759,7.99,13.83
1760,7.19,12.28
1761,8.77,14.77
1762,8.61,14.27
1763,7.5,12.2
1764,8.4,14.18
1765,8.25,13.86
1766,8.41,14.7
1767,8.22,13.5
1768,6.78,13.09
1769,7.69,14.02
1770,7.69,13.88
1771,7.85,14.68
1772,8.19,14.52
1773,8.22,14.61
1774,8.77,14.17
1775,9.18,15.15
1776,8.3,13.89
1777,8.26,13.89
1778,8.54,11.23
1779,8.98,6.17
1780,9.43,
1781,8.1,14.37
1782,7.9,13.92
1783,7.68,13.69
1784,7.86,13.71
1785,7.36,13.46
1786,8.26,14.02
1787,8.03,14.06
1788,8.45,14.5
1789,8.33,14.27
1790,7.98,14.16
1791,8.23,14.39
1792,8.09,13.91
1793,8.23,14.38
1794,8.53,14.5
1795,8.35,14.29
1796,8.27,14.12
1797,8.51,14.03
1798,8.67,14.73
1799,8.51,14.44
1800,8.48,14.3
1801,8.59,14.64
1802,8.58,14.84
1803,8.5,14.69
1804,8.84,14.69
1805,8.56,14.79
1806,8.43,14.37
1807,8.28,14.15
1808,7.63,14.03
1809,7.08,13.22
1810,6.92,13.33
1811,6.86,13.48
1812,7.05,12.74
1813,7.74,13.81
1814,7.59,13.61
1815,7.24,13.17
1816,6.94,12.69
1817,6.98,12.85
1818,7.83,13.58
1819,7.37,13.44
1820,7.62,13.39
1821,8.09,13.38
1822,8.19,14.36
1823,7.72,13.8
1824,8.55,14.23
1825,8.39,14.96
1826,8.36,14.48
1827,8.81,15.03
1828,8.17,15.61
1829,7.94,14.31
1830,8.52,15.54
1831,7.64,13.44
1832,7.45,14.56
1833,8.01,14.79
1834,8.15,15.23
1835,7.39,13.81
1836,7.7,13.24
1837,7.38,14.08
1838,7.51,13.36
1839,7.63,14.36
1840,7.8,14.48
1841,7.69,14.24
1842,8.02,14.73
1843,8.17,13.58
1844,7.65,14.73
1845,7.85,14.5
1846,8.55,14.84
1847,8.09,13.65
1848,7.98,14.07
1849,7.98,14.01
1850,7.9,14.28
1851,8.18,14.24
1852,8.1,14.15
1853,8.04,14.18
1854,8.21,15.39
1855,8.11,14.32
1856,8,12.88
1857,7.76,12.9
1858,8.1,14.33
1859,8.25,14.04
1860,7.96,14.63
1861,7.85,14.4
1862,7.56,14.42
1863,8.11,13.59
1864,7.98,13.28
1865,8.18,14.38
1866,8.29,13.83
1867,8.44,14.05
1868,8.25,13.43
1869,8.43,13.31
1870,8.2,14.03
1871,8.12,14.69
1872,8.19,13.19
1873,8.35,13.61
1874,8.43,14.88
1875,7.86,13.22
1876,8.08,13.75
1877,8.54,14.26
1878,8.83,14.68
1879,8.17,14.62
1880,8.12,14.45
1881,8.27,14.95
1882,8.13,14.84
1883,7.98,14.13
1884,7.77,14.05
1885,7.92,13.04
1886,7.95,13.09
1887,7.91,14.59
1888,8.09,13.73
1889,8.32,13.99
1890,7.97,14.83
1891,8.02,13.99
1892,8.07,13.37
1893,8.06,13.59
1894,8.16,14.2
1895,8.15,13.18
1896,8.21,14.57
1897,8.29,14.6
1898,8.18,14.45
1899,8.4,13.99
1900,8.5,14.58
1901,8.54,13.38
1902,8.3,14.18
1903,8.22,13.65
1904,8.09,13.69
1905,8.23,13.73
1906,8.38,14.21
1907,7.95,14.37
1908,8.19,14.83
1909,8.18,14.52
1910,8.22,13.67
1911,8.18,15.34
1912,8.17,13.38
1913,8.3,14.98
1914,8.59,14.41
1915,8.59,14.27
1916,8.23,14.23
1917,8.02,12.87
1918,8.13,14.44
1919,8.38,14.82
1920,8.36,13.9
1921,8.57,16.05
